年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2022,5,市区町村,観光来訪者数,18,福井県,18404,南越前町,27882
2022,5,市区町村,観光来訪者数,18,福井県,18423,越前町,46834
2022,5,市区町村,観光来訪者数,18,福井県,18442,美浜町,11111
2022,5,市区町村,観光来訪者数,18,福井県,18481,高浜町,35325
2022,5,市区町村,観光来訪者数,18,福井県,18483,おおい町,48414
2022,5,市区町村,観光来訪者数,18,福井県,18501,若狭町,72852
2022,6,市区町村,観光来訪者数,18,福井県,18201,福井市,72849
2022,6,市区町村,観光来訪者数,18,福井県,18202,敦賀市,38159
2022,6,市区町村,観光来訪者数,18,福井県,18204,小浜市,39234
2022,6,市区町村,観光来訪者数,18,福井県,18205,大野市,23784
2022,6,市区町村,観光来訪者数,18,福井県,18206,勝山市,55039
2022,6,市区町村,観光来訪者数,18,福井県,18207,鯖江市,20219
2022,6,市区町村,観光来訪者数,18,福井県,18208,あわら市,23868
2022,6,市区町村,観光来訪者数,18,福井県,18209,越前市,39119
2022,6,市区町村,観光来訪者数,18,福井県,18210,坂井市,98761
2022,6,市区町村,観光来訪者数,18,福井県,18322,永平寺町,34876
2022,6,市区町村,観光来訪者数,18,福井県,18382,池田町,3320
2022,6,市区町村,観光来訪者数,18,福井県,18404,南越前町,17540
2022,6,市区町村,観光来訪者数,18,福井県,18423,越前町,24294
2022,6,市区町村,観光来訪者数,18,福井県,18442,美浜町,7940
2022,6,市区町村,観光来訪者数,18,福井県,18481,高浜町,22220
2022,6,市区町村,観光来訪者数,18,福井県,18483,おおい町,27314
2022,6,市区町村,観光来訪者数,18,福井県,18501,若狭町,44912
2022,7,市区町村,観光来訪者数,18,福井県,18201,福井市,76725
2022,7,市区町村,観光来訪者数,18,福井県,18202,敦賀市,47206
2022,7,市区町村,観光来訪者数,18,福井県,18204,小浜市,41489
2022,7,市区町村,観光来訪者数,18,福井県,18205,大野市,24980
2022,7,市区町村,観光来訪者数,18,福井県,18206,勝山市,79866
2022,7,市区町村,観光来訪者数,18,福井県,18207,鯖江市,15230
2022,7,市区町村,観光来訪者数,18,福井県,18208,あわら市,22213
2022,7,市区町村,観光来訪者数,18,福井県,18209,越前市,19504
2022,7,市区町村,観光来訪者数,18,福井県,18210,坂井市,127517
2022,7,市区町村,観光来訪者数,18,福井県,18322,永平寺町,37862
2022,7,市区町村,観光来訪者数,18,福井県,18382,池田町,4781
2022,7,市区町村,観光来訪者数,18,福井県,18404,南越前町,27627
2022,7,市区町村,観光来訪者数,18,福井県,18423,越前町,29713
2022,7,市区町村,観光来訪者数,18,福井県,18442,美浜町,12187
2022,7,市区町村,観光来訪者数,18,福井県,18481,高浜町,44866
2022,7,市区町村,観光来訪者数,18,福井県,18483,おおい町,33573
2022,7,市区町村,観光来訪者数,18,福井県,18501,若狭町,44972
2022,8,市区町村,観光来訪者数,18,福井県,18201,福井市,78207
2022,8,市区町村,観光来訪者数,18,福井県,18202,敦賀市,49321
2022,8,市区町村,観光来訪者数,18,福井県,18204,小浜市,48404
2022,8,市区町村,観光来訪者数,18,福井県,18205,大野市,38495
2022,8,市区町村,観光来訪者数,18,福井県,18206,勝山市,126394
2022,8,市区町村,観光来訪者数,18,福井県,18207,鯖江市,16791
2022,8,市区町村,観光来訪者数,18,福井県,18208,あわら市,27949
2022,8,市区町村,観光来訪者数,18,福井県,18209,越前市,38618
2022,8,市区町村,観光来訪者数,18,福井県,18210,坂井市,201329
2022,8,市区町村,観光来訪者数,18,福井県,18322,永平寺町,43167
2022,8,市区町村,観光来訪者数,18,福井県,18382,池田町,5065
2022,8,市区町村,観光来訪者数,18,福井県,18404,南越前町,22207
2022,8,市区町村,観光来訪者数,18,福井県,18423,越前町,28388
2022,8,市区町村,観光来訪者数,18,福井県,18442,美浜町,13757
2022,8,市区町村,観光来訪者数,18,福井県,18481,高浜町,50603
2022,8,市区町村,観光来訪者数,18,福井県,18483,おおい町,37947
2022,8,市区町村,観光来訪者数,18,福井県,18501,若狭町,56681
2022,9,市区町村,観光来訪者数,18,福井県,18201,福井市,77208
2022,9,市区町村,観光来訪者数,18,福井県,18202,敦賀市,44646
2022,9,市区町村,観光来訪者数,18,福井県,18204,小浜市,40749
2022,9,市区町村,観光来訪者数,18,福井県,18205,大野市,23848
2022,9,市区町村,観光来訪者数,18,福井県,18206,勝山市,71772
2022,9,市区町村,観光来訪者数,18,福井県,18207,鯖江市,15734
2022,9,市区町村,観光来訪者数,18,福井県,18208,あわら市,28902
2022,9,市区町村,観光来訪者数,18,福井県,18209,越前市,24122
2022,9,市区町村,観光来訪者数,18,福井県,18210,坂井市,110672
2022,9,市区町村,観光来訪者数,18,福井県,18322,永平寺町,42316
2022,9,市区町村,観光来訪者数,18,福井県,18382,池田町,2153
2022,9,市区町村,観光来訪者数,18,福井県,18404,南越前町,17330
2022,9,市区町村,観光来訪者数,18,福井県,18423,越前町,29738
2022,9,市区町村,観光来訪者数,18,福井県,18442,美浜町,9339
2022,9,市区町村,観光来訪者数,18,福井県,18481,高浜町,25354
2022,9,市区町村,観光来訪者数,18,福井県,18483,おおい町,33758
2022,9,市区町村,観光来訪者数,18,福井県,18501,若狭町,44389
2022,10,市区町村,観光来訪者数,18,福井県,18201,福井市,117180
2022,10,市区町村,観光来訪者数,18,福井県,18202,敦賀市,50732
2022,10,市区町村,観光来訪者数,18,福井県,18204,小浜市,46308
2022,10,市区町村,観光来訪者数,18,福井県,18205,大野市,39440
2022,10,市区町村,観光来訪者数,18,福井県,18206,勝山市,92557
2022,10,市区町村,観光来訪者数,18,福井県,18207,鯖江市,28425
2022,10,市区町村,観光来訪者数,18,福井県,18208,あわら市,38214
2022,10,市区町村,観光来訪者数,18,福井県,18209,越前市,67520
2022,10,市区町村,観光来訪者数,18,福井県,18210,坂井市,140218
2022,10,市区町村,観光来訪者数,18,福井県,18322,永平寺町,66151
2022,10,市区町村,観光来訪者数,18,福井県,18382,池田町,4071
2022,10,市区町村,観光来訪者数,18,福井県,18404,南越前町,17073
2022,10,市区町村,観光来訪者数,18,福井県,18423,越前町,38381
2022,10,市区町村,観光来訪者数,18,福井県,18442,美浜町,13767
2022,10,市区町村,観光来訪者数,18,福井県,18481,高浜町,29695
2022,10,市区町村,観光来訪者数,18,福井県,18483,おおい町,36990
2022,10,市区町村,観光来訪者数,18,福井県,18501,若狭町,66760
2022,11,市区町村,観光来訪者数,18,福井県,18201,福井市,114475
2022,11,市区町村,観光来訪者数,18,福井県,18202,敦賀市,63035
2022,11,市区町村,観光来訪者数,18,福井県,18204,小浜市,38020
2022,11,市区町村,観光来訪者数,18,福井県,18205,大野市,33501
2022,11,市区町村,観光来訪者数,18,福井県,18206,勝山市,92923
2022,11,市区町村,観光来訪者数,18,福井県,18207,鯖江市,26004
2022,11,市区町村,観光来訪者数,18,福井県,18208,あわら市,31330
2022,11,市区町村,観光来訪者数,18,福井県,18209,越前市,45011
2022,11,市区町村,観光来訪者数,18,福井県,18210,坂井市,131748
